ID,Species,Family,bt.family,Figures
KU_Achirus_mazatlanus,Achirus_mazatlanus,Achiridae,Achiridae,A. maz
KU_Achirus_mazatlanus_1,Achirus_mazatlanus,Achiridae,Achiridae,A. maz
KU_Ancylopsetta_dilecta_1,Ancylopsetta_dilecta,Paralichthyidae1,Paralichthyidae,A. dil
KU_Bothus_poda_1,Bothus_podas,Bothidae,Bothidae,B. pod
KU_Citharichthys_gilberti,Citharichthys_gilberti,Paralichthyidae1,Paralichthyidae,C. gil
KU_Citharichthys_gilberti_1,Citharichthys_gilberti,Paralichthyidae1,Paralichthyidae,C. gil
KU_Citharichthys_macrops,Citharichthys_macrops,Paralichthyidae1,Paralichthyidae,C. macrops
KU_Citharichthys_stigmaeus,Citharichthys_stigmaeus,Paralichthyidae1,Paralichthyidae,C. sti
KU_Citharoides_macrolepis,Citharoides_macrolepis,Citharidae,Citharidae,C. macrolepis
KU_Citharoides_macrolepis_1,Citharoides_macrolepis,Citharidae,Citharidae,C. macrolepis
KU_Cynoglossus_cf._interruptus,Cynoglossus_interruptus,Cynoglossidae,Cynoglossidae,C. int
KU_Gymnachirus_melas,Gymnachirus_melas,Achiridae,Achiridae,G. mel
KU_Gymnachirus_melas_1,Gymnachirus_melas,Achiridae,Achiridae,G. mel
KU_Gymnachirus_texae,Gymnachirus_texae,Achiridae,Achiridae,G. tex
KU_Gymnachirus_texae_1,Gymnachirus_texae,Achiridae,Achiridae,G. tex
KU_Paralichthys_lethostigma_2,Paralichthys_lethostigma,Paralichthyidae1,Paralichthyidae,P. let
KU_Tarphops_oligolepis,Tarphops_oligolepis,Paralichthyidae2,Paralichthyidae,T. oli
